sp,Ns,N1,N2,int_start,int_end,interval_length,int
nectgl,60,97,93,1990-08-29,1995-06-18,4.805299962188684,3
micoar,269,740,611,1990-07-31,1995-05-23,4.814558449892171,3
ficuc2,0,0,1,NA,1995-06-02,NA,3
ficuin,2,3,5,1990-11-11,1995-07-08,4.657899543378991,3
ormoma,94,97,107,1990-07-15,1995-04-29,4.792349937373542,3
termam,13,21,14,1990-07-14,1995-04-23,4.7791258969341195,3
tri2pa,327,409,382,1990-08-01,1995-05-12,4.78177031283674,3
ficubu,0,0,1,NA,1995-02-23,NA,3
tet4jo,0,1,0,1991-01-29,NA,NA,3
pse1se,3,10,4,1990-07-22,1995-03-08,4.631369863013699,3
tocopi,2,2,2,1990-07-05,1995-04-24,4.8054794520547945,3
sch2mo,0,0,0,NA,NA,NA,3
pochse,7,9,8,1990-09-08,1995-06-13,4.762899543378995,3
ocotpu,99,176,126,1990-07-17,1995-05-11,4.818511435292261,3
ingami,3,7,4,1990-07-14,1995-05-01,4.800293542074366,3
ingaru,7,11,8,1990-09-25,1995-06-09,4.707503113325029,3
cuparu,74,87,99,1990-07-28,1995-05-09,4.783761087492781,3
poutfo,1,1,1,1990-04-07,1995-03-09,4.923287671232877,3
vochfe,6,12,8,1990-06-03,1995-03-29,4.8220319634703195,3
ast1st,0,1,0,1990-09-28,NA,NA,3
coccco,84,140,103,1990-08-04,1995-05-10,4.767400870176509,3
cupaci,5,8,6,1990-08-04,1995-05-13,4.776369863013699,3
tri4ga,0,0,0,NA,NA,NA,3
laetpr,3,8,6,1990-04-29,1995-03-24,4.905479452054794,3
lafopu,0,0,0,NA,NA,NA,3
entesc,6,7,6,1990-05-18,1995-04-01,4.874494455316375,3
cedrod,2,7,3,1990-08-27,1995-06-26,4.8337899543379,3
ingaqu,432,539,469,1990-08-21,1995-05-27,4.766952666459049,3
pourbi,17,21,26,1990-04-27,1995-02-24,4.832440162577151,3
pit1ma,0,0,0,NA,NA,NA,3
ingath,33,65,62,1990-04-21,1995-02-28,4.861142798871479,3
pochqu,0,0,0,NA,NA,NA,3
alchla,1,1,1,1990-02-07,1995-01-03,4.906849315068493,3
sipagu,1,3,2,1990-03-24,1995-01-08,4.797716894977169,3
ochrpy,0,1,0,1990-10-18,NA,NA,3
oenoma,8,22,22,1990-06-28,1995-04-25,4.825280199252802,3
ery2ma,182,257,230,1990-08-12,1995-05-20,4.771858272132521,3
nectpu,51,63,68,1990-06-28,1995-04-13,4.796112965734238,3
socrex,12,38,38,1990-05-15,1995-03-15,4.836842105263157,3
perexa,166,206,183,1990-05-08,1995-03-01,4.815253234610755,3
chimpa,1,1,1,1990-12-06,1995-10-06,4.835616438356165,3
schipa,6,8,8,1990-05-06,1995-03-24,4.885616438356164,3
elaeol,0,0,0,NA,NA,NA,3
maclti,0,0,0,NA,NA,NA,3
aegipa,12,24,18,1995-04-26,2000-04-22,4.993645357686449,4
beilpe,1569,2040,1772,1995-05-02,2000-04-28,4.995502937932654,4
tet2pa,2848,3363,3415,1995-05-15,2000-05-13,5.001397707577596,4
alsebl,5264,6386,6002,1995-05-13,2000-05-09,4.993508350790217,4
ocotob,46,105,87,1995-04-28,2000-05-22,5.0702188631711556,4
solaha,2,18,26,1995-06-01,2000-05-30,4.998618428755413,4
quaras,969,1163,1084,1995-06-04,2000-05-30,4.994073624448655,4
gustsu,20,49,39,1995-05-22,2000-05-10,4.973298065274583,4
pterro,1032,1350,1204,1995-04-27,2000-04-25,5.001945040293556,4
virosu,20,28,22,1995-04-26,2000-05-02,5.02116171499733,4
simaam,400,732,763,1995-04-15,2000-04-11,4.994576773263238,4
protte,1788,2172,2068,1995-07-04,2000-07-01,4.997193920783037,4
brosal,406,458,434,1995-05-19,2000-05-13,4.989476288521107,4
