int,sp,N1,N2,Ns,Nd,Nr,int_start,int_end,interval_length,M_Koh,R_Koh,...1,Latin,pft
2,nects1,8,4,4,4,0,1985-06-21,1990-10-16,5.322945205479452,1.9535458645633633e-6,0,119,Nectandra fuzzy,ST_DT
2,ormocr,37,46,29,8,17,1985-06-15,1990-10-02,5.299417285063501,3.3248795312771514e-6,7.065369003963947e-6,129,Ormosia coccinea,ST_DT
2,ficupo,1,1,0,1,1,1985-02-11,1990-06-13,5.336986301369863,2e-6,2e-6,121,Ficus popenoei,LD_DT
2,turpoc,25,1,0,25,1,1985-04-12,1990-08-14,5.3423561643835615,5e-5,2e-6,122,Turpinia occidentalis,LD_DT
2,tremmi,2,2,0,2,2,1985-07-30,1990-07-01,4.921917808219178,4e-6,4e-6,123,Trema micrantha,LD_DT
2,ingasa,201,177,134,67,43,1985-04-23,1990-07-17,5.234225205525658,2.9965020417578525e-5,1.9231281760535472e-5,124,Inga sapindoides,ST_DI
2,ocotce,272,269,171,101,98,1985-04-26,1990-08-01,5.267070041847773,4.588626678567552e-5,4.452330836629902e-5,125,Ocotea cernua,LD_DT
2,guargr,36,38,32,4,6,1985-03-28,1990-07-04,5.272490587198591,1.5905875143904505e-6,2.3858812715856757e-6,126,Guarea grandifolia,ST_DT
2,ingapu,9,11,4,5,7,1985-05-18,1990-09-01,5.293067662930679,2.5568480597144297e-6,3.5795872836002013e-6,127,Inga punctata,ST_DT
2,nectgl,90,97,49,41,48,1985-05-27,1990-08-29,5.259251518147153,1.965093939714413e-5,2.300597783080288e-5,128,Nectandra lineata,ST_DT
2,micoar,573,740,228,345,512,1985-04-24,1990-07-31,5.2711972684152295,1.8381443859060803e-4,2.7279128277794585e-4,130,Miconia argentea,ST_DT
2,ficuin,4,3,1,3,2,1985-07-01,1990-11-11,5.368949771689498,1.8205104621176512e-6,1.2136736414117674e-6,132,Ficus insipida,LD_DT
2,ormoma,71,97,66,5,31,1985-04-11,1990-07-15,5.2644796330589125,1.9561251287329743e-6,1.212797579814444e-5,133,Ormosia macrocalyx,ST_DT
2,termam,25,21,19,6,2,1985-04-17,1990-07-14,5.244639269406393,2.5490811360206037e-6,8.496937120068679e-7,137,Terminalia amazonia,ST_DT
2,tri2pa,410,409,324,86,85,1985-04-27,1990-08-01,5.265547075204819,3.5853360536682917e-5,3.543646099555869e-5,134,Trichilia pallida,ST_DT
