"","day","pft","date","dbh","N_co","SMP","NPP","FSDS","water_def","H20_mort_rate","e_frac","c_repro","light"
"499",124,"latedi",2003-05-05 11:30:00,500,800,-12250.8803304036,1.80720576372551,11203199.8523712,1683147.23190104,0.00066390807480541,0.0941061453349794,425.172920628412,0.336095995571136
"500",124,"latedt",2003-05-05 11:30:00,500,800,-12250.8803304036,1.80720576372551,11203199.8523712,1683147.23190104,0.000677266386169704,0.0939424887937405,424.433518016916,0.336095995571136
"501",125,"earlydi",2003-05-06 11:30:00,500,800,-12699.6092529297,1.55425303091761,17281079.9079895,1683147.23190104,0.00066390807480541,0.0601259160195923,233.627218025372,0.518432397239685
"502",125,"earlydt",2003-05-06 11:30:00,500,800,-12699.6092529297,1.55425303091761,17281079.9079895,1683147.23190104,0.000677266386169704,0.072322415421456,281.018333430201,0.518432397239685
"503",125,"latedi",2003-05-06 11:30:00,500,800,-12699.6092529297,1.55425303091761,17281079.9079895,1683147.23190104,0.00066390807480541,0.0941061453349794,365.661904037161,0.518432397239685
"504",125,"latedt",2003-05-06 11:30:00,500,800,-12699.6092529297,1.55425303091761,17281079.9079895,1683147.23190104,0.000677266386169704,0.0939424887937405,365.025994849036,0.518432397239685
"505",126,"earlydi",2003-05-07 11:30:00,500,800,-19693.1849772135,1.73480882840522,11051459.9842072,1683147.23190104,0.00066390807480541,0.0601259160195923,260.767424816849,0.331543799526215
"506",126,"earlydt",2003-05-07 11:30:00,500,800,-19693.1849772135,1.73480882840522,11051459.9842072,1683147.23190104,0.000677266386169704,0.072322415421456,313.663911911829,0.331543799526215
"507",126,"latedi",2003-05-07 11:30:00,500,800,-19693.1849772135,1.73480882840522,11051459.9842072,1683147.23190104,0.00066390807480541,0.0941061453349794,408.140429335768,0.331543799526215
"508",126,"latedt",2003-05-07 11:30:00,500,800,-19693.1849772135,1.73480882840522,11051459.9842072,1683147.23190104,0.000677266386169704,0.0939424887937405,407.430647304349,0.331543799526215
"509",127,"earlydi",2003-05-08 11:30:00,500,800,-13036.0651855469,1.58145623572636,22889340.2561188,1683147.23190104,0.00066390807480541,0.0601259160195923,237.71626204486,0.686680207683563
"510",127,"earlydt",2003-05-08 11:30:00,500,800,-13036.0651855469,1.58145623572636,22889340.2561188,1683147.23190104,0.000677266386169704,0.072322415421456,285.936837127635,0.686680207683563
"511",127,"latedi",2003-05-08 11:30:00,500,800,-13036.0651855469,1.58145623572636,22889340.2561188,1683147.23190104,0.00066390807480541,0.0941061453349794,372.061875900437,0.686680207683563
"512",127,"latedt",2003-05-08 11:30:00,500,800,-13036.0651855469,1.58145623572636,22889340.2561188,1683147.23190104,0.000677266386169704,0.0939424887937405,371.414836756288,0.686680207683563
"513",128,"earlydi",2003-05-09 11:30:00,500,800,-22398.2753092448,1.43049893558782,23602860.0048065,1683147.23190104,0.00066390807480541,0.0601259160195923,215.025147168174,0.708085800144196
"514",128,"earlydt",2003-05-09 11:30:00,500,800,-22398.2753092448,1.43049893558782,23602860.0048065,1683147.23190104,0.000677266386169704,0.072322415421456,258.642845698832,0.708085800144196
"515",128,"latedi",2003-05-09 11:30:00,500,800,-22398.2753092448,1.43049893558782,23602860.0048065,1683147.23190104,0.00066390807480541,0.0941061453349794,336.546851834902,0.708085800144196
"516",128,"latedt",2003-05-09 11:30:00,500,800,-22398.2753092448,1.43049893558782,23602860.0048065,1683147.23190104,0.000677266386169704,0.0939424887937405,335.961575564791,0.708085800144196
"517",129,"earlydi",2003-05-10 11:30:00,500,800,-35444.8722330729,1.74778529799369,15481979.9526215,1683147.23190104,0.00066390807480541,0.0601259160195923,262.717980118616,0.464459398578644
"518",129,"earlydt",2003-05-10 11:30:00,500,800,-35444.8722330729,1.74778529799369,15481979.9526215,1683147.23190104,0.000677266386169704,0.072322415421456,316.010135972532,0.464459398578644
"519",129,"latedi",2003-05-10 11:30:00,500,800,-35444.8722330729,1.74778529799369,15481979.9526215,1683147.23190104,0.00066390807480541,0.0941061453349794,411.193343168336,0.464459398578644
"520",129,"latedt",2003-05-10 11:30:00,500,800,-35444.8722330729,1.74778529799369,15481979.9526215,1683147.23190104,0.000677266386169704,0.0939424887937405,410.478251926591,0.464459398578644
"521",130,"earlydi",2003-05-11 11:30:00,500,800,-6755.67673238118,1.63064990701969,17049240.1067734,1683147.23190104,0.00066390807480541,0.0601259160195923,245.110798417054,0.511477203203201
"522",130,"earlydt",2003-05-11 11:30:00,500,800,-6755.67673238118,1.63064990701969,17049240.1067734,1683147.23190104,0.000677266386169704,0.072322415421456,294.831349956091,0.511477203203201
"523",130,"latedi",2003-05-11 11:30:00,500,800,-6755.67673238118,1.63064990701969,17049240.1067734,1683147.23190104,0.00066390807480541,0.0941061453349794,383.635442851163,0.511477203203201
"524",130,"latedt",2003-05-11 11:30:00,500,800,-6755.67673238118,1.63064990701969,17049240.1067734,1683147.23190104,0.000677266386169704,0.0939424887937405,382.968276541778,0.511477203203201
"525",131,"earlydi",2003-05-12 11:30:00,500,800,-4026.1778271993,1.67760547592479,12273479.8667908,1683147.23190104,0.00066390807480541,0.0601259160195923,252.168914898656,0.368204396003723
"526",131,"earlydt",2003-05-12 11:30:00,500,800,-4026.1778271993,1.67760547592479,12273479.8667908,1683147.23190104,0.000677266386169704,0.072322415421456,303.321200357856,0.368204396003723
"527",131,"latedi",2003-05-12 11:30:00,500,800,-4026.1778271993,1.67760547592479,12273479.8667908,1683147.23190104,0.00066390807480541,0.0941061453349794,394.68246183034,0.368204396003723
"528",131,"latedt",2003-05-12 11:30:00,500,800,-4026.1778271993,1.67760547592479,12273479.8667908,1683147.23190104,0.000677266386169704,0.0939424887937405,393.996084055956,0.368204396003723
"529",132,"earlydi",2003-05-13 11:30:00,500,800,-1811.66680145264,1.47092305378465,11910959.8503113,1683147.23190104,0.00066390807480541,0.0601259160195923,221.101490007845,0.357328795509338
"530",132,"earlydt",2003-05-13 11:30:00,500,800,-1811.66680145264,1.47092305378465,11910959.8503113,1683147.23190104,0.000677266386169704,0.072322415421456,265.951770372024,0.357328795509338
"531",132,"latedi",2003-05-13 11:30:00,500,800,-1811.66680145264,1.47092305378465,11910959.8503113,1683147.23190104,0.00066390807480541,0.0941061453349794,346.057246690074,0.357328795509338
"532",132,"latedt",2003-05-13 11:30:00,500,800,-1811.66680145264,1.47092305378465,11910959.8503113,1683147.23190104,0.000677266386169704,0.0939424887937405,345.455431241546,0.357328795509338
"533",133,"earlydi",2003-05-14 11:30:00,500,800,-1278.36797587077,1.09287499835773,8337959.74302292,1683147.23190104,0.00066390807480541,0.0601259160195923,164.275275927922,0.250138792290688
"534",133,"earlydt",2003-05-14 11:30:00,500,800,-1278.36797587077,1.09287499835773,8337959.74302292,1683147.23190104,0.000677266386169704,0.072322415421456,197.598399087377,0.250138792290688
"535",133,"latedi",2003-05-14 11:30:00,500,800,-1278.36797587077,1.09287499835773,8337959.74302292,1683147.23190104,0.00066390807480541,0.0941061453349794,257.115633571045,0.250138792290688
"536",133,"latedt",2003-05-14 11:30:00,500,800,-1278.36797587077,1.09287499835773,8337959.74302292,1683147.23190104,0.000677266386169704,0.0939424887937405,256.66849321545,0.250138792290688
"537",134,"earlydi",2003-05-15 11:30:00,500,800,-2080.87091064453,1.42180425973493,17387820.2516556,1683147.23190104,0.00066390807480541,0.0601259160195923,213.718208792802,0.521634607549667
"538",134,"earlydt",2003-05-15 11:30:00,500,800,-2080.87091064453,1.42180425973493,17387820.2516556,1683147.23190104,0.000677266386169704,0.072322415421456,257.070795801363,0.521634607549667
"539",134,"latedi",2003-05-15 11:30:00,500,800,-2080.87091064453,1.42180425973493,17387820.2516556,1683147.23190104,0.00066390807480541,0.0941061453349794,334.50129576127,0.521634607549667
"540",134,"latedt",2003-05-15 11:30:00,500,800,-2080.87091064453,1.42180425973493,17387820.2516556,1683147.23190104,0.000677266386169704,0.0939424887937405,333.919576842602,0.521634607549667
"541",135,"earlydi",2003-05-16 11:30:00,500,800,-3158.53335571289,1.44096204567177,22105800.3141403,1683147.23190104,0.00066390807480541,0.0601259160195923,216.597907363702,0.66317400942421
"542",135,"earlydt",2003-05-16 11:30:00,500,800,-3158.53335571289,1.44096204567177,22105800.3141403,1683147.23190104,0.000677266386169704,0.072322415421456,260.534639184062,0.66317400942421
"543",135,"latedi",2003-05-16 11:30:00,500,800,-3158.53335571289,1.44096204567177,22105800.3141403,1683147.23190104,0.00066390807480541,0.0941061453349794,339.008459230441,0.66317400942421
"544",135,"latedt",2003-05-16 11:30:00,500,800,-3158.53335571289,1.44096204567177,22105800.3141403,1683147.23190104,0.000677266386169704,0.0939424887937405,338.418902069314,0.66317400942421
"545",136,"earlydi",2003-05-17 11:30:00,500,800,-4658.90250651042,1.45637987470764,21878640.2073696,1683147.23190104,0.00066390807480541,0.0601259160195923,218.915435098239,0.656359206221089
"546",136,"earlydt",2003-05-17 11:30:00,500,800,-4658.90250651042,1.45637987470764,21878640.2073696,1683147.23190104,0.000677266386169704,0.072322415421456,263.322275775134,0.656359206221089
"547",136,"latedi",2003-05-17 11:30:00,500,800,-4658.90250651042,1.45637987470764,21878640.2073696,1683147.23190104,0.00066390807480541,0.0941061453349794,342.63574038044,0.656359206221089
