yr,month,rain,run
2121,08,183.56463750824332,analy_dry75
2121,09,116.39366779709235,analy_dry75
2121,10,114.71922631608322,analy_dry75
2121,11,503.02574671804905,analy_dry75
2121,12,58.32471366156824,analy_dry75
2122,01,4.250338947895216,analy_dry75
2122,02,14.615464983216953,analy_dry75
2122,03,16.301309336267877,analy_dry75
2122,04,32.26842024887446,analy_dry75
2122,05,173.93395837862045,analy_dry75
2122,06,320.34860879648477,analy_dry75
2122,07,368.209490692243,analy_dry75
2122,08,365.94924218952656,analy_dry75
2122,09,247.73053997196257,analy_dry75
2122,10,332.3666366748512,analy_dry75
2122,11,543.3909296058118,analy_dry75
2122,12,924.9038522131741,analy_dry75
2123,01,22.714316484052688,analy_dry75
2123,02,7.8641097017680295,analy_dry75
2123,03,10.078303366026375,analy_dry75
2123,04,13.511919825396035,analy_dry75
2123,05,228.55829999316484,analy_dry75
2123,06,296.98309355881065,analy_dry75
2123,07,336.47702978923917,analy_dry75
2123,08,169.34357767459005,analy_dry75
2123,09,212.51172828488052,analy_dry75
2123,10,284.94292739778757,analy_dry75
2123,11,643.8181308098137,analy_dry75
2123,12,489.67920751310885,analy_dry75
2124,01,2.287683237955207,analy_dry75
2124,02,0.47305506486736704,analy_dry75
2124,03,4.630369012375013,analy_dry75
2124,04,43.232962576439604,analy_dry75
2124,05,252.93026911094785,analy_dry75
2124,06,275.4362889099866,analy_dry75
2124,07,336.346850451082,analy_dry75
2124,08,141.15125422831625,analy_dry75
2124,09,168.17810232751071,analy_dry75
2124,10,294.32363491505384,analy_dry75
2124,11,854.0151223540306,analy_dry75
2124,12,468.17779024131596,analy_dry75
2125,01,3.167753053276101,analy_dry75
2125,02,16.43961757508805,analy_dry75
2125,03,12.36598843097454,analy_dry75
2125,04,15.940440469421446,analy_dry75
2125,05,202.8562020510435,analy_dry75
2125,06,186.79010344203562,analy_dry75
2125,07,398.16184658557177,analy_dry75
2125,08,293.0534704355523,analy_dry75
2125,09,227.50657566357404,analy_dry75
2125,10,244.31952950544655,analy_dry75
2125,11,176.62112885154784,analy_dry75
2125,12,146.76166215213016,analy_dry75
2126,01,5.197914934979053,analy_dry75
2126,02,3.1611457332473947,analy_dry75
2126,03,6.603027204255341,analy_dry75
2126,04,11.734437159611844,analy_dry75
2126,05,270.99169737193733,analy_dry75
2126,06,283.6519887903705,analy_dry75
2126,07,159.9427878507413,analy_dry75
2126,08,307.50462419819087,analy_dry75
2126,09,173.16958350129426,analy_dry75
2126,10,216.47740406915545,analy_dry75
2126,11,369.49787638150156,analy_dry75
2126,12,318.41562101617455,analy_dry75
2127,01,8.875708394043613,analy_dry75
2127,02,9.336729360802565,analy_dry75
2127,03,8.178149694140302,analy_dry75
2127,04,22.03759342082776,analy_dry75
2127,05,128.9803046034649,analy_dry75
2127,06,304.35140000190586,analy_dry75
2127,07,241.70933633577079,analy_dry75
2127,08,484.5287438482046,analy_dry75
2127,09,95.98369124578312,analy_dry75
2127,10,383.0603807698935,analy_dry75
2127,11,406.2462563160807,analy_dry75
2127,12,83.27663855161518,analy_dry75
2128,01,11.233395303133875,analy_dry75
2128,02,13.152005866868421,analy_dry75
2128,03,1.7701415035844548,analy_dry75
2128,04,7.342419170890935,analy_dry75
2128,05,136.53092058375478,analy_dry75
2128,06,185.7151689939201,analy_dry75
2128,07,267.2814108431339,analy_dry75
2128,08,183.56463750824332,analy_dry75
2128,09,116.39366779709235,analy_dry75
2128,10,114.71922631608322,analy_dry75
2128,11,503.02574671804905,analy_dry75
2128,12,58.32471366156824,analy_dry75
2129,01,4.250338947895216,analy_dry75
2129,02,14.615464983216953,analy_dry75
2129,03,16.301309336267877,analy_dry75
2129,04,32.26842024887446,analy_dry75
2129,05,173.93395837862045,analy_dry75
2129,06,320.34860879648477,analy_dry75
2129,07,368.209490692243,analy_dry75
2129,08,365.94924218952656,analy_dry75
2129,09,247.73053997196257,analy_dry75
2129,10,332.3666366748512,analy_dry75
2129,11,543.3909296058118,analy_dry75
2129,12,924.9038522131741,analy_dry75
2130,01,22.714316484052688,analy_dry75
2130,02,7.8641097017680295,analy_dry75
2130,03,10.078303366026375,analy_dry75
2130,04,13.511919825396035,analy_dry75
2130,05,228.55829999316484,analy_dry75
2130,06,296.98309355881065,analy_dry75
2130,07,336.47702978923917,analy_dry75
2130,08,169.34357767459005,analy_dry75
2130,09,212.51172828488052,analy_dry75
2130,10,284.94292739778757,analy_dry75
2130,11,643.8181308098137,analy_dry75
2130,12,489.67920751310885,analy_dry75
2131,01,2.287683237955207,analy_dry75
2131,02,0.48994991580002534,analy_dry75
2131,03,4.630369012375013,analy_dry75
2131,04,43.232962576439604,analy_dry75
2131,05,252.93026911094785,analy_dry75
2131,06,275.4362889099866,analy_dry75
2131,07,336.346850451082,analy_dry75
2131,08,141.15125422831625,analy_dry75
2131,09,168.17810232751071,analy_dry75
2131,10,294.32363491505384,analy_dry75
2131,11,854.0151223540306,analy_dry75
2131,12,468.17779024131596,analy_dry75
2132,01,3.167753053276101,analy_dry75
2132,02,15.872733328433242,analy_dry75
2132,03,12.36598843097454,analy_dry75
2132,04,15.940440469421446,analy_dry75
2132,05,202.8562020510435,analy_dry75
2132,06,186.79010344203562,analy_dry75
2132,07,398.16184658557177,analy_dry75
2132,08,293.0534704355523,analy_dry75
2132,09,227.50657566357404,analy_dry75
2132,10,244.31952950544655,analy_dry75
2132,11,176.62112885154784,analy_dry75
2132,12,146.76166215213016,analy_dry75
2133,01,5.197914934979053,analy_dry75
2133,02,3.1611457332473947,analy_dry75
2133,03,6.603027204255341,analy_dry75
2133,04,11.734437159611844,analy_dry75
2133,05,270.99169737193733,analy_dry75
